Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
DaitoGikenKoushikiPachi-SlotSimulator:YoshimunePortable,PSP,2006,Misc,Daito,0,0,0.18,0,0.18,60,,
Eyeshield21:DevilBatsDevilDays,GBA,2006,Role-Playing,Nintendo,0,0,0.18,0,0.18,60,,
GregHastings'TournamentPaintballMax'd,GBA,2006,Shooter,Activision,0.12,0.06,0,0,0.18,60,tbd,E10+
KuryuuYoumaGakuenkiRecharge,PS2,2006,Adventure,Atlus,0,0,0.18,0,0.18,60,,
BodeMillerAlpineSkiing,PS2,2006,Sports,Valcon Games,0.06,0.06,0,0,0.18,60,6.6,E
JewelQuest5:TheSleeplessStar,DS,2012,Action,Licensed 4U,0,0.18,0,0,0.18,60,,
Cabela'sDangerousHunts2,GC,2005,Sports,Activision,0.17,0.06,0,0,0.17,60,tbd,T
Cabela'sOutdoorAdventures,GC,2005,Sports,Activision,0.17,0.06,0,0,0.17,60,8.8,T
GoldenNuggetCasino/TexasHold'EmDoublePack,GBA,2005,Misc,Majesco Entertainment,0.11,0.06,0,0,0.17,60,,
MarbleMadness/Klax,GBA,2005,Puzzle,Zoo Digital Publishing,0.11,0.06,0,0,0.17,60,tbd,E
Gauntlet/Rampart,GBA,2005,Misc,Zoo Digital Publishing,0.11,0.06,0,0,0.17,60,tbd,E
ChuckE.Cheese'sSportsGames,Wii,2011,Sports,UFO Interactive,0.17,0,0,0,0.17,60,tbd,E
VeggyWorld,DS,2011,Shooter,Jack of All Games,0.17,0,0,0,0.17,60,tbd,E
Hoppie,DS,2011,Platform,Jack of All Games,0.17,0,0,0,0.17,60,tbd,E
ChuckE.Cheese'sSuperCollection,Wii,2011,Action,UFO Interactive,0.17,0,0,0,0.17,60,tbd,E
IGTSlots:LuckyLarry'sLobstermania,PC,2011,Simulation,Masque Publishing,0.17,0,0,0,0.17,60,tbd,
AtlanticQuest,PC,2011,Puzzle,Avanquest,0,0.17,0,0,0.17,60,,
Germany'sNextTopmodel2011,Wii,2011,Simulation,7G//AMES,0,0.17,0,0,0.17,60,,
Usavichi:GamenoJikan,DS,2011,Action,Namco Bandai Games,0,0,0.17,0,0.17,60,,
SoranoOtoshimonoForte:DreamySeason,DS,2011,Adventure,Kadokawa Shoten,0,0,0.17,0,0.17,60,,
GummyBearsMagicalMedallion,Wii,2011,Platform,Storm City Games,0.08,0,0,0,0.17,60,tbd,E
Germany'sNextTopmodel2011,DS,2011,Simulation,7G//AMES,0,0.08,0,0,0.17,60,,
SamuraiSpirits:TenkaichiKenkakuden,PS2,2005,Fighting,Unknown,0,0,0.17,0,0.17,60,,
TheKingofFighters:MaximumImpact-Maniax,XB,2005,Fighting,Unknown,0.11,0.06,0,0,0.17,60,,
SpecialForces:NemesisStrike,XB,2005,Shooter,Hip Interactive,0.17,0.06,0,0,0.17,60,6.5,M
TheKingofFightersKyo,PS,1998,Fighting,SNK Playmore,0,0,0.16,0,0.16,60,,
TruePinball,PS,1996,Misc,Ocean,0.07,0.04,0,0,0.15,60,,
ZatchBell!ElectricArena,GBA,2003,Fighting,Banpresto,0.1,0.05,0,0,0.15,60,,
Go!Go!Hypergrind,GC,2003,Sports,Atlus,0.1,0.05,0,0,0.15,60,,
FotoShowdown,DS,2010,Role-Playing,Unknown,0.15,0,0,0,0.15,60,tbd,E
CrazyMachines,Wii,2010,Puzzle,DTP Entertainment,0.08,0.08,0,0,0.15,60,tbd,E
"CrouchingTiger,HiddenDragon",GBA,2003,Action,Ubisoft,0.1,0.05,0,0,0.15,60,tbd,T
PiratesPlundArrr,Wii,2010,Action,Majesco Entertainment,0.15,0,0,0,0.15,60,tbd,E10+
SuzumiyaHaruhinoHeiretsu,Wii,2009,Adventure,Sega,0,0,0.14,0,0.14,60,,
Indianapolis500Evolution,X360,2009,Racing,Zushi Games,0.14,0,0,0,0.14,60,tbd,E
GeonCube,Wii,2009,Puzzle,P2 Games,0.14,0,0,0,0.14,60,tbd,E
DiscoveryKids:SnakeSafari,DS,2009,Simulation,505 Games,0.14,0,0,0,0.14,60,tbd,E10+
MindYourLanguage:LearnEnglish!/French!/German!/Spanish!/Japanese!,DS,2009,Misc,PlayV,0,0.14,0,0,0.14,60,,
Hot'n'Cold,DS,2009,Action,Majesco Entertainment,0.14,0,0,0,0.14,60,,
WarLeaders:ClashofNations,PC,2009,Strategy,CDV Software Entertainment,0,0.14,0,0,0.14,60,6.4,T
PuzzleCity,DS,2009,Puzzle,Destineer,0.14,0,0,0,0.14,60,tbd,E
JellyBelly:BallisticBeans,Wii,2009,Puzzle,Zoo Digital Publishing,0.14,0,0,0,0.14,60,tbd,E
ReversalChallenge,DS,2009,Misc,Tommo,0.14,0,0,0,0.14,60,tbd,E
MyHero:Doctor,DS,2009,Action,Majesco Entertainment,0.14,0,0,0,0.14,60,tbd,E10+
RugbyChallenge3,XOne,2016,Sports,Alternative Software,0,0.14,0,0,0.14,60,6.6,E
Yu-Gi-Oh!5D'sWheelieBreakers(JPsales),Wii,2009,Racing,Unknown,0,0,0.14,0,0.14,60,,
StealPrincess,DS,2009,Platform,Unknown,0.14,0,0,0,0.14,60,tbd,E10+
WorldSeriesofPoker2008:BattlefortheBracelets,PSP,2007,Misc,Activision,0.13,0,0,0,0.13,60,6.5,T
AkaiItoDS,DS,2008,Adventure,Alchemist,0,0,0.13,0,0.13,60,,
Defendin'DePenguin,DS,2008,Strategy,Zushi Games,0.13,0,0,0,0.13,60,,
SpongeBob:HeroPants,PSV,2015,Platform,Activision,0.13,0,0,0,0.13,60,5.1,E
SousakuAlicetoOujisama!,3DS,2015,Simulation,Happinet,0,0,0.13,0,0.13,60,,
KaitouJoker:TokioKoeruKaitoutoUshinawaretaHouseki,3DS,2015,Action,Namco Bandai Games,0,0,0.13,0,0.13,60,,
InfiniteStratos2:LoveandPurge,PSV,2015,Action,5pb,0,0,0.13,0,0.13,60,,
Norn+Nonette:LastEra,PSV,2015,Action,Idea Factory,0,0,0.13,0,0.13,60,,
HitotsuTobashiRenaiV,PSV,2015,Adventure,Kaga Create,0,0,0.13,0,0.13,60,,
Fuuraiki3,PSV,2015,Action,Unknown,0,0,0.13,0,0.13,60,,
HyakkaYakou,PSV,2015,Action,Unknown,0,0,0.13,0,0.13,60,,
FarmingSimulator15ExpansionPack,PC,2015,Action,Focus Home Interactive,0,0.13,0,0,0.13,60,,
KuroganeKaikitan,PSV,2015,Adventure,Minato Station,0,0,0.13,0,0.13,60,,
Durarara!!Relay,PSV,2015,Action,Kadokawa Games,0,0,0.13,0,0.13,60,,
Ride,X360,2015,Racing,Milestone S.r.l.,0,0.13,0,0,0.13,60,,
RugbyWorldCup2015,PC,2015,Sports,Ubisoft,0,0.13,0,0,0.13,60,1.4,E
RugbyLeagueLive3,XOne,2015,Action,Tru Blu Entertainment,0,0.13,0,0,0.13,60,7.1,E
"Shinobi,KoiUtsutsu:SetsugetsukaKoiEmaki",PSV,2015,Action,Idea Factory,0,0,0.13,0,0.13,60,,
IrotoridorinoSekai:World'sEndRe-Birth,PSV,2015,Action,HuneX,0,0,0.13,0,0.13,60,,
Xblaze:LostMemories,PSV,2015,Adventure,Arc System Works,0.13,0,0,0,0.13,60,7,M
Hakuoki:Reimeiroku-OmouhaseKara,PSV,2015,Action,Idea Factory,0,0,0.13,0,0.13,60,,
Cube,PSP,2007,Puzzle,D3Publisher,0.13,0,0,0,0.13,60,tbd,E
NeoAngelique,PS2,2006,Adventure,Tecmo Koei,0,0,0.12,0,0.12,60,,
TotallySpies!2:Undercover,DS,2006,Action,Atari,0.06,0.06,0,0,0.12,60,,
LodeRunner,DS,2006,Puzzle,Hudson Entertainment,0,0,0.12,0,0.12,60,,
SuperFruitFall,Wii,2006,Puzzle,System 3 Arcade Software,0.06,0,0,0,0.12,60,,E
TeenageMutantNinjaTurtlesDoublePack,GBA,2006,Action,Konami Digital Entertainment,0.06,0,0,0,0.12,60,,
PortableIsland:TenohiraResort,PSP,2006,Simulation,Namco Bandai Games,0,0,0.12,0,0.12,60,,
UNO52,DS,2006,Misc,Zoo Digital Publishing,0.06,0,0,0,0.12,60,tbd,E
Saint,Wii,2006,Shooter,Unknown,0.12,0,0,0,0.12,60,tbd,E10+
Luxor:TheWrathofSet,PSP,2006,Puzzle,Mumbo Jumbo,0.12,0,0,0,0.12,60,tbd,E
Konductra,DS,2006,Puzzle,O3 Entertainment,0.12,0,0,0,0.12,60,tbd,E
OnlineChessKingdoms,PSP,2006,Misc,Konami Digital Entertainment,0.06,0,0,0,0.12,60,6.8,E
RoboPit,PS,1995,Fighting,Kokopeli Digital Studios,0.07,0.04,0,0,0.11,60,,
BattleArenaToshindenURA,SAT,1995,Fighting,Sega,0,0,0.11,0,0.11,60,,
ThePerfectGolf,PS,1995,Sports,Seta Corporation,0,0,0.11,0,0.11,60,,
3DBaseball,PS,1996,Sports,BMG Interactive Entertainment,0.07,0.04,0,0,0.11,60,,
LethalEnforcersI&II,PS,1996,Shooter,Konami Digital Entertainment,0.07,0.04,0,0,0.11,60,,
BRAHMAForce:TheAssaultonBeltlogger9,PS,1996,Shooter,JVC,0.07,0.04,0,0,0.11,60,,
GridRunner,PS,1996,Action,Virgin Interactive,0.07,0.04,0,0,0.11,60,,
SpyHunter/SuperSprint,GBA,2005,Racing,Zoo Digital Publishing,0.11,0.06,0,0,0.11,60,,
ShinobiKoutsutsu,PSP,2014,Adventure,Idea Factory,0,0,0.11,0,0.11,60,,
PenguinsofMadagascar,Wii,2014,Action,Namco Bandai Games,0,0.11,0,0,0.11,60,tbd,E
Marginal#4:IdolofSupernova,PSV,2014,Adventure,Idea Factory,0,0,0.11,0,0.11,60,,
BigHero6:BattleintheBay,3DS,2014,Action,GameMill Entertainment,0,0.11,0,0,0.11,60,,
GetennoHana:YumeAkari,PSP,2014,Misc,Tecmo Koei,0,0,0.11,0,0.11,60,,
Hanayamata:YosakoiLive,PSV,2014,Adventure,Namco Bandai Games,0,0,0.11,0,0.11,60,,
AdventureTime:TheSecretoftheNameless,X360,2014,Adventure,Little Orbit,0.11,0,0,0,0.11,60,,
Ro-Kyu-Bu!SecretPhotoOp,PSV,2014,Adventure,Kadokawa Games,0,0,0.11,0,0.11,60,,
BakumatsuRock,PSP,2014,Action,Marvelous Entertainment,0,0,0.11,0,0.11,60,,
BinaryStar,PSV,2014,Adventure,Idea Factory,0,0,0.11,0,0.11,60,,
TouchDetective3:DoesFunghiDreamofBananas?,3DS,2014,Adventure,Success,0,0,0.11,0,0.11,60,,
Fate/kaleidlinerPrismaIllya,3DS,2014,Action,Kadokawa Games,0,0,0.11,0,0.11,60,,
MindsandMystery:5GamePack,PC,2014,Action,Focus Multimedia,0,0.11,0,0,0.11,60,,
"Sakigake!!Otokojuku-Nihonyo,KoregaOtokoDearu!",PS3,2014,Fighting,Namco Bandai Games,0,0,0.11,0,0.11,60,,
SoniPro,3DS,2014,Adventure,imageepoch Inc.,0,0,0.11,0,0.11,60,,
GoldenTime:VividMemories,PSV,2014,Adventure,ASCII Media Works,0,0,0.11,0,0.11,60,,
HeartnoKuninoAlice:WonderfulTwinWorld,PSP,2014,Adventure,Quinrose,0,0,0.11,0,0.11,60,,
MotoGP14,PSV,2014,Racing,Milestone S.r.l.,0,0.11,0,0,0.11,60,7.5,E
ShinKoihimeMusou:OtomeTaisen*SangokushiEngi,PS3,2014,Adventure,Views,0,0,0.11,0,0.11,60,,
FarmingSimulator2014,PSV,2014,Simulation,Focus Home Interactive,0.11,0,0,0,0.11,60,,
WinxClub:SavingAlfea,3DS,2014,Action,Namco Bandai Games,0,0.11,0,0,0.11,60,tbd,E
RabbidsInvasion:TheInteractiveTVShow,XOne,2014,Misc,Ubisoft,0,0.11,0,0,0.11,60,,
LegendsofOz:Dorothy'sReturn,3DS,2014,Puzzle,GameMill Entertainment,0,0.11,0,0,0.11,60,tbd,E
BakumatsuRock:UltraSoul,PSP,2014,Misc,Marvelous Interactive,0,0,0.11,0,0.11,60,,
TheAmazingSpider-Man2(2014),PC,2014,Action,Activision,0,0.11,0,0,0.11,60,,
FujikoF.FujioCharacters:GreatAssembly!SlightlyFantasticSlapstickParty,3DS,2014,Action,Namco Bandai Games,0,0,0.11,0,0.11,60,,
ColdWar,XB,2005,Shooter,DreamCatcher Interactive,0.11,0.06,0,0,0.11,60,8,T
MuppetsPartyCruise,GC,2003,Misc,TDK Mediactive,0.1,0,0,0,0.1,60,8,E
Ben10Omniverse2,X360,2013,Action,Namco Bandai Games,0,0.1,0,0,0.1,60,5.1,E10+
TotalImmersionRacing,XB,2002,Racing,Empire Interactive,0.1,0.05,0,0,0.1,60,tbd,E
Abunai:KoinoSousaShitsu,PSP,2012,Action,Quinrose,0,0,0.09,0,0.09,60,,
Transformers:Prime,Wii,2012,Action,Activision,0,0.09,0,0,0.09,60,,
TheUltimateBattleoftheSexes,Wii,2010,Misc,DTP Entertainment,0.08,0,0,0,0.08,60,tbd,T
OrderUp!!,3DS,2011,Action,Funbox Media,0,0.08,0,0,0.08,60,,
DrivingSimulator2011,PC,2011,Racing,Excalibur Publishing,0,0.08,0,0,0.08,60,,
STORM:FrontlineNation,PC,2011,Strategy,Unknown,0,0.08,0,0,0.08,60,7.2,E10+
TailoftheSun,PS,1996,Role-Playing,ArtDink,0.04,0.04,0,0,0.07,60,,
HotelGiantDS,DS,2008,Simulation,Nobilis,0,0.07,0,0,0.07,60,,
TorotoMorimori,PS3,2009,Misc,Sony Computer Entertainment,0,0,0.07,0,0.07,60,,
PDCWorldChampionshipDarts2009,Wii,2009,Sports,Oxygen Interactive,0,0.07,0,0,0.07,60,,
TheHumans:MeettheAncestors!,DS,2009,Puzzle,Deep Silver,0.07,0,0,0,0.07,60,,
th!nkLogicTrainer,Wii,2009,Puzzle,Conspiracy Entertainment,0.07,0,0,0,0.07,60,,
TheAmazingSpider-Man(DS&MobileVersions),PSP,2009,Action,Eidos Interactive,0,0.07,0,0,0.07,60,,
Whac-A-Mole,GBA,2005,Puzzle,Zoo Digital Publishing,0.06,0,0,0,0.06,60,tbd,E
Chameleon:ToDyeFor!,DS,2006,Puzzle,505 Games,0.06,0,0,0,0.06,60,,
Tringo,GBA,2006,Puzzle,Liquid Games,0.06,0,0,0,0.06,60,tbd,E
Railfan,PS3,2006,Simulation,Ongakukan,0,0,0.06,0,0.06,60,,
MonsterJam,PC,2007,Racing,Activision,0.06,0,0,0,0.06,60,5.8,
Luxor:Pharaoh'sChallenge,DS,2007,Puzzle,Funsta,0,0.06,0,0,0.06,60,tbd,E
WoodyWoodpeckerinCrazyCastle5,GBA,2002,Platform,Kemco,0.05,0,0,0,0.05,60,,
FlashFocus:VisionTraininginMinutesaDay,DS,2007,Misc,Nintendo,5.38,9.75,6.56,2.19,23.94,59,4,E
NeedForSpeed:Undercover,PS3,2008,Racing,Electronic Arts,4.2,6.67,0.33,2.53,13.67,59,5.9,T
LEGOBattles:Ninjago,DS,2011,Strategy,Warner Bros. Interactive Entertainment,8.5,2.67,0,0.92,12.08,59,6.9,E
PokemonMysteryDungeon:GatestoInfinity,3DS,2012,Role-Playing,Nintendo,4,2.64,4.27,0.64,11.55,59,6.3,E
LEGOIndianaJones2:TheAdventureContinues,DS,2009,Action,Activision,4.64,3,0,0.79,8.43,59,tbd,E
TamagotchiConnection:CornerShop,DS,2005,Simulation,Atari,0.56,0.11,6.22,0.06,7,59,7.7,E
Cabela'sBigGameHunter,PS2,2002,Sports,Activision,3.33,2.57,0,0.86,6.76,59,7.8,T
TheSimpsonsGame,PSP,2007,Action,Electronic Arts,1.5,3.38,0,1.88,6.69,59,6.7,T
KaraokeRevolutionGlee,Wii,2010,Misc,Konami Digital Entertainment,3.92,1.85,0,0.54,6.31,59,tbd,T
WWESmackDownvsRaw2008,Wii,2007,Fighting,THQ,2.38,3.13,0,0.69,6.13,59,5.9,T
TheLordoftheRings:TheFellowshipoftheRing,PS2,2002,Action,Black Label Games,2.81,2.19,0,0.71,5.71,59,5.1,T
SonicRiders,GC,2006,Racing,Sega,4.18,1.06,0,0.18,5.41,59,8,E
PeppaPig:FunandGames,DS,2010,Misc,Ubisoft,0,4.38,0,0.69,5,59,,
SonicLostWorld,3DS,2013,Platform,Sega,2.4,1.4,0.7,0.3,4.9,59,6.5,E10+
Pac-ManParty,Wii,2010,Misc,Namco Bandai Games,3.62,0.62,0.08,0.31,4.69,59,5.9,E10+
EpicMickey2:ThePowerofTwo,X360,2012,Action,Disney Interactive Studios,2.91,1.36,0,0.36,4.64,59,5.5,E
TeenageMutantNinjaTurtles,PS2,2003,Action,Konami Digital Entertainment,2.25,1.75,0,0.6,4.6,59,8.7,E
NHL15,XOne,2014,Sports,Electronic Arts,3.44,0.67,0,0.44,4.56,59,3.2,E10+
DynastyWarriors6,PS3,2007,Action,Tecmo Koei,1.13,0.44,2.56,0.25,4.44,59,7.3,T
EpicMickey2:ThePowerofTwo,PS3,2012,Action,Disney Interactive Studios,1.91,1.64,0,0.73,4.27,59,4.3,E
CodedArms,PSP,2005,Shooter,Konami Digital Entertainment,1.56,1.61,0,0.94,4.17,59,6.5,T
MXvs.ATVUntamed,PSP,2007,Racing,THQ,2.19,1.13,0,0.75,4.06,59,tbd,E
Beijing2008,X360,2008,Sports,Sega,1,2.53,0,0.47,3.93,59,,
BarbieHorseAdventures:RidingCamp,DS,2008,Sports,Activision,3.33,0,0,0.27,3.67,59,tbd,E
DanceStarParty,PS3,2011,Misc,Sony Computer Entertainment,0,2.83,0,0.83,3.58,59,,
PlayStationVRWorlds,PS4,2016,Misc,Sony Computer Entertainment,0.86,2,0.29,0.57,3.57,59,7.1,M
Murdered:SoulSuspect,PS4,2014,Action,Square Enix,1,1.78,0.22,0.56,3.56,59,6.9,M
Defiance,PS3,2013,Shooter,Trion Worlds,1.9,1,0,0.6,3.5,59,6.9,M
SegaBassFishing,Wii,2008,Sports,Sega,3,0.07,0,0.27,3.33,59,6.3,E
SpongeBobSquigglePants,Wii,2011,Misc,THQ,2.92,0.17,0,0.25,3.33,59,tbd,E
NamcoMuseum,XB,1995,Misc,Unknown,2.75,0.39,0,0.14,3.25,59,tbd,E
HowtoTrainYourDragon,Wii,2010,Action,Activision,1.77,1.15,0,0.31,3.23,59,7,E10+
TheLegendofSpyro:DawnoftheDragon,PS3,2008,Platform,Vivendi Games,1.27,1.2,0,0.47,2.93,59,6.6,E10+
NarutoShippuden:UltimateNinjaImpact,PSP,2011,Fighting,Namco Bandai Games,0.75,0.58,1.25,0.33,2.83,59,7.2,T
AngryBirdsStarWars,X360,2013,Strategy,Activision,1.6,1,0,0.2,2.8,59,5.6,E
NBALive07,X360,2006,Sports,Electronic Arts,2.47,0,0,0.24,2.71,59,4.9,E
TheHobbit,PS2,2003,Platform,Vivendi Games,1.3,1,0,0.35,2.7,59,8.6,E
DarkVoid,PS3,2010,Action,Capcom,1.38,0.92,0,0.38,2.69,59,6,T
Kong:The8thWonderoftheWorld,GBA,2005,Action,Ubisoft,1.83,0.67,0,0.06,2.61,59,tbd,E10+
SAW,PS3,2009,Action,Konami Digital Entertainment,0.93,1.21,0,0.43,2.57,59,6.4,M
NBALive15,PS4,2014,Sports,Electronic Arts,1.78,0.44,0,0.44,2.56,59,5.6,E
SoldierofFortune:GoldEdition,PS2,2001,Shooter,Codemasters,1.23,0.95,0,0.32,2.55,59,6.8,M
TheLordoftheRings:TheFellowshipoftheRing,XB,2002,Action,Universal Interactive,1.48,0.9,0,0.14,2.52,59,6.6,T
DarkVoid,X360,2010,Action,Capcom,1.46,0.69,0,0.23,2.38,59,6,T
Transformers:DarkoftheMoon,X360,2011,Action,Activision,1.08,1,0,0.25,2.33,59,6.7,T
StyleLab:JewelryDesign,DS,2009,Simulation,Ubisoft,2.14,0,0,0.14,2.29,59,tbd,E
SaintSeiya:Soldiers'Soul,PS4,2015,Fighting,Namco Bandai Games,0,1.5,0.5,0.25,2.25,59,7.8,T
NBALive16,PS4,2015,Sports,Electronic Arts,1.25,0.5,0,0.38,2.25,59,6.1,E
Gauntlet:SevenSorrows,PS2,2005,Role-Playing,Midway Games,1.11,0.83,0,0.28,2.22,59,5.7,T
StuartLittle2,GBA,2002,Platform,Activision,1.57,0.57,0,0.05,2.19,59,tbd,E
FIFAStreet2,PS2,2006,Sports,Electronic Arts,1,0.76,0.12,0.24,2.18,59,7.7,E
TheAdventuresofTintin:TheGame,PS3,2011,Action,Ubisoft,0.5,1.25,0,0.42,2.17,59,5.7,E10+
InazumaElevenStrikers,Wii,2011,Role-Playing,Nintendo,0,0.08,2.08,0,2.17,59,7.9,
Gold'sGym:CardioWorkout(Otherssales),Wii,2008,Sports,Ubisoft,0,1.93,0,0.13,2.07,59,,
SAW,X360,2009,Action,Konami Digital Entertainment,0.93,0.86,0,0.21,2,59,7.4,M
GuitarHero:VanHalen,PS3,2009,Misc,Activision,1,0.64,0,0.29,1.93,59,4.7,T
RapalaProFishing,PS2,2004,Sports,Zoo Digital Publishing,0.95,0.74,0,0.26,1.89,59,8.7,E
Disney'sTarzanUntamed,PS2,2001,Platform,Ubisoft,0.91,0.73,0,0.23,1.86,59,7.1,E
LittlestPetShop:Friends,Wii,2009,Simulation,Electronic Arts,1.5,0.14,0,0.14,1.86,59,tbd,E
NASCAR08,X360,2007,Racing,Electronic Arts,1.63,0,0,0.13,1.81,59,5.2,E
MyJapaneseCoach,DS,2008,Misc,Ubisoft,1.6,0,0,0.13,1.8,59,6.7,E
Bolt,PS2,2008,Adventure,Disney Interactive Studios,0.6,0.13,0,1.07,1.73,59,tbd,E10+
FIFAStreet,PS2,2005,Sports,Electronic Arts,0.83,0.67,0,0.22,1.72,59,7.9,E
Nicktoons:BattleforVolcanoIsland,DS,2006,Action,THQ,1.59,0,0,0.12,1.71,59,tbd,E
DynastyWarriors6Empires,X360,2009,Action,Tecmo Koei,1.14,0.07,0.29,0.14,1.71,59,7.3,T
SBKSuperbikeWorldChampionship,PS3,2008,Racing,Black Bean Games,0.8,0.73,0,0.13,1.67,59,6.1,E10+
LizzieMcGuire3:HomecomingHavoc,GBA,2005,Platform,Disney Interactive Studios,1.22,0.44,0,0.06,1.67,59,tbd,E
WayoftheSamurai2,PS2,2003,Action,Capcom,0.25,0.2,1.15,0.05,1.65,59,9,M
DynastyWarriors:Strikeforce,X360,2009,Action,Tecmo Koei,0.93,0.43,0.14,0.14,1.64,59,5.7,T
Frogger'sAdventures:TheRescue,PS2,2003,Platform,Konami Digital Entertainment,0.8,0.6,0,0.2,1.6,59,8.5,E
LegendsofWrestlingII,PS2,2002,Fighting,Acclaim Entertainment,0.76,0.62,0,0.19,1.57,59,6.7,T
UltimateBand,Wii,2008,Misc,Disney Interactive Studios,1.2,0.2,0,0.13,1.53,59,5.5,E10+
NeedForSpeed:Undercover,DS,2008,Racing,Electronic Arts,1.2,0.2,0,0.13,1.53,59,6.7,E10+
EverGrace,PS2,2000,Role-Playing,Ubisoft,0.43,0.35,0.65,0.13,1.52,59,7.8,T
Disney'sStitch:Experiment626,PS2,2002,Action,Sony Computer Entertainment,0.71,0.57,0,0.19,1.48,59,7.8,E
HotWheels:BeatThat!,DS,2007,Racing,Activision,1.31,0,0,0.13,1.44,59,tbd,E
ShaunWhiteSkateboarding,Wii,2010,Sports,Ubisoft,1,0.23,0,0.08,1.38,59,tbd,E10+
Rio,DS,2011,Misc,THQ,1,0.25,0,0.08,1.33,59,tbd,E
F12011,3DS,2011,Racing,Codemasters,0.58,0.67,0,0.17,1.33,59,6.8,E
Bleach:The3rdPhantom,DS,2008,Role-Playing,Sega,0.67,0.13,0.47,0.07,1.33,59,8,T
Frogger'sJourney:TheForgottenRelic,GBA,2003,Action,Konami Digital Entertainment,0.9,0.35,0,0,1.3,59,tbd,E
SqueeballsParty,Wii,2009,Puzzle,Performance Designed Products,1.21,0,0,0.07,1.29,59,tbd,E10+
Bolt,PS3,2008,Adventure,Disney Interactive Studios,0.8,0.27,0,0.13,1.27,59,6.8,E10+
SkylandersGiants,3DS,2012,Action,Activision,1.09,0.09,0,0.09,1.27,59,5,E10+
BarbieHorseAdventures:RidingCamp,PS2,2008,Sports,Activision,0.6,0.47,0,0.13,1.27,59,tbd,E
BarbieHorseAdventures:RidingCamp,Wii,2008,Sports,Activision,1.13,0,0,0.07,1.27,59,tbd,E
RidingSpirits,PS2,2002,Racing,BAM! Entertainment,0.62,0.48,0,0.14,1.24,59,9,E
Splatterhouse,PS3,2010,Action,Namco Bandai Games,1,0.15,0,0.15,1.23,59,7.7,M
FistoftheNorthStar:Ken'sRage,X360,2010,Action,Ubisoft Annecy,0.54,0.15,0.46,0.08,1.23,59,7.3,M
Playboy:TheMansion,PS2,2005,Simulation,Ubisoft,0.56,0.44,0,0.17,1.11,59,7.5,M
4x4EVO2,XB,2001,Racing,Gathering of Developers,0.82,0.23,0,0.05,1.09,59,6.2,E
GreenLantern:RiseoftheManhunters,X360,2011,Action,Warner Bros. Interactive Entertainment,0.58,0.33,0,0.08,1.08,59,7.2,T
LostinBlue3,DS,2007,Adventure,Konami Digital Entertainment,0.56,0.13,0.38,0.06,1.06,59,tbd,E10+
HotWheels:BeatThat!,X360,2007,Racing,Activision,0.94,0,0,0.06,1.06,59,,
LethalSkiesElitePilot:TeamSW,PS2,2001,Simulation,Sammy Corporation,0.5,0.36,0,0.14,1,59,tbd,E
OpenSeason,GC,2006,Platform,Ubisoft,0.76,0.18,0,0,1,59,tbd,E10+
MindZero,PSV,2013,Role-Playing,GungHo,0.5,0,0.4,0.2,1,59,6,T
Pac-ManandtheGhostlyAdventures2,PS3,2014,Adventure,Namco Bandai Games,0.56,0.33,0,0.22,1,59,6.3,E10+
ArmoredCore:LastRaven,PS2,2005,Simulation,505 Games,0.28,0.22,0.44,0.06,1,59,8.9,T
HistoryCivilWar:SecretMissions,PS2,2008,Shooter,Activision,0.47,0.4,0,0.13,1,59,,
PeppaPig:FunandGames,Wii,2010,Misc,Ubisoft,0,0.85,0,0.15,1,59,,
RobinHood:DefenderoftheCrown,PS2,2003,Strategy,Capcom,0.45,0.35,0,0.1,0.95,59,5.6,T
TrueCrime:NewYorkCity,GC,2005,Action,Activision,0.72,0.17,0,0,0.94,59,8.8,M
GladiatorBegins,PSP,2010,Action,PQube,0.38,0.08,0.38,0.08,0.92,59,8,M
DanceParadise,X360,2010,Misc,Mindscape,0.77,0.08,0,0.08,0.92,59,tbd,T
BigMuthaTruckers,XB,2002,Racing,Empire Interactive,0.71,0.19,0,0.05,0.9,59,4.3,T
TokyoXtremeRacerDRIFT,PS2,2003,Racing,Genki,0.45,0.35,0,0.1,0.9,59,8.6,E
Spider-Man:FriendorFoe,Wii,2007,Action,Activision,0.81,0,0,0.06,0.88,59,8,E10+
VictoriousBoxers:Revolution,Wii,2007,Fighting,Ubisoft,0.44,0,0.38,0.06,0.88,59,5.4,T
HotWheels:BeatThat!,Wii,2007,Racing,Activision,0.81,0,0,0.06,0.88,59,5.3,E
HistoryCivilWar:SecretMissions,X360,2008,Shooter,Activision,0.8,0,0,0.07,0.87,59,,
RapalaProFishing,XB,2004,Sports,Zoo Digital Publishing,0.63,0.16,0,0.05,0.84,59,tbd,E
MonsterHouse,PS2,2006,Adventure,THQ,0.41,0.29,0,0.12,0.82,59,tbd,E10+
NBA08,PS2,2007,Sports,Sony Computer Entertainment,0.38,0.31,0,0.13,0.81,59,tbd,E
MajorLeagueBaseball2K8FantasyAll-Stars,DS,2008,Sports,Take-Two Interactive,0.73,0,0,0.07,0.8,59,7,E
Zenses:Rainforest,DS,2008,Puzzle,Game Factory,0.67,0.07,0,0.07,0.8,59,tbd,E
SkateCityHeroes,Wii,2008,Sports,Zoo Digital Publishing,0.73,0,0,0.07,0.8,59,tbd,E
