Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
StarWars:KnightsoftheOldRepublic,XB,2003,Role-Playing,Activision,8.4,2.2,0,0.4,10.95,94,9.2,T
TheElderScrollsV:Skyrim,XOne,2016,Role-Playing,Bethesda Softworks,5.86,3.86,0,1,10.57,94,,
Command&Conquer:RedAlert,PC,1996,Strategy,Virgin Interactive,5.07,4.96,0,0.52,10.56,94,,
BioShock,PS3,2008,Shooter,Take-Two Interactive,5,3.07,0.07,1.33,9.47,94,8.7,M
VirtuaFighter4,PS2,2002,Fighting,Sega,3.71,2.1,2.67,0.19,8.62,94,8,T
NCAAFootball2004,PS2,2003,Sports,Electronic Arts,6.75,0.45,0,1.15,8.35,94,8.8,E
ChronoCross,PS,1999,Role-Playing,SquareSoft,2.58,1.75,2.88,0.5,7.75,94,8.1,T
Warcraft:Orcs&Humans,PC,1994,Strategy,Activision,3.07,3.72,0,0.38,7.17,94,,
Burnout3:Takedown,XB,2004,Racing,Electronic Arts,4.42,2.26,0,0.21,6.89,94,7.2,T
BioShockInfinite,PC,2013,Shooter,Take-Two Interactive,2.9,3,0,0.7,6.6,94,8.5,M
TomClancy'sSplinterCell:ChaosTheory,XB,2005,Action,Ubisoft,3.78,2.11,0,0.28,6.17,94,9,M
Diablo,PC,1996,Role-Playing,Activision,0.04,5.85,0,0,5.89,94,8.7,M
Divinity:OriginalSin,PS4,2015,Role-Playing,Focus Home Interactive,1.25,1.5,0.25,0.5,3.5,94,,
MetalGearSolid3:Subsistence,PS2,2005,Action,Konami Digital Entertainment,1.89,0.06,0.83,0.33,3.06,94,9.3,M
ISSProEvolution,PS,1998,Sports,Konami Digital Entertainment,0,0,2.84,0.2,3.04,94,8.7,E
MassEffect2,PC,2010,Role-Playing,Electronic Arts,0.08,2.46,0,0.46,3,94,8.8,M
RidgeRacer,PS,1994,Racing,Sony Computer Entertainment,0,0,2.55,0.17,2.72,94,,
MaddenNFL2004,GC,2003,Sports,Electronic Arts,2,0.5,0,0.05,2.55,94,7.7,E
TheElderScrollsIV:Oblivion,PC,2006,Role-Playing,Take-Two Interactive,0.06,1.18,0,0.24,1.47,94,8.1,M
SidMeier'sCivilizationIV,PC,2005,Strategy,Take-Two Interactive,0.11,0.67,0,0.17,0.89,94,8.3,E10+
